system:index,climate_dewpoint_mean,climate_precip_total,climate_temp_mean,file,label,soil_oc,soil_ph,soil_texture,topo_elevation,topo_landforms,.geo
00000000000000000037,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,75,4,14,34,"{""type"":""Point"",""coordinates"":[-121.7758425145855,38.5863716785854]}"
00000000000000000038,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,3,73,4,5,34,"{""type"":""Point"",""coordinates"":[-121.65807319666294,38.5863716785854]}"
00000000000000000039,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,73,4,6,34,"{""type"":""Point"",""coordinates"":[-121.70128634497188,38.58627803746328]}"
0000000000000000003a,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,73,4,11,34,"{""type"":""Point"",""coordinates"":[-121.74449503417974,38.58618885544221]}"
0000000000000000003b,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,77,4,14,24,"{""type"":""Point"",""coordinates"":[-121.78770372338765,38.586099673421145]}"
0000000000000000003c,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,3,72,4,5,34,"{""type"":""Point"",""coordinates"":[-121.66993440546509,38.586099673421145]}"
0000000000000000003d,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,73,7,7,34,"{""type"":""Point"",""coordinates"":[-121.71314309467297,38.58601049140008]}"
0000000000000000003e,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,74,4,11,34,"{""type"":""Point"",""coordinates"":[-121.75635178388089,38.585921309379]}"
0000000000000000003f,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,75,4,17,24,"{""type"":""Point"",""coordinates"":[-121.79956047308877,38.58583212735794]}"
00000000000000000040,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,74,4,6,34,"{""type"":""Point"",""coordinates"":[-121.68179115516621,38.585832127357946]}"
00000000000000000041,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,74,7,9,34,"{""type"":""Point"",""coordinates"":[-121.72499984437412,38.58573848623582]}"
00000000000000000042,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,75,7,13,34,"{""type"":""Point"",""coordinates"":[-121.76820853358198,38.58564930421475]}"
00000000000000000043,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,76,4,17,24,"{""type"":""Point"",""coordinates"":[-121.8114172227899,38.58556012219368]}"
00000000000000000044,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,74,4,6,24,"{""type"":""Point"",""coordinates"":[-121.6936479048673,38.58556012219368]}"
00000000000000000045,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,74,4,9,34,"{""type"":""Point"",""coordinates"":[-121.73685659407525,38.585470940172605]}"
00000000000000000046,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,75,4,14,34,"{""type"":""Point"",""coordinates"":[-121.78006528328308,38.585381758151534]}"
00000000000000000047,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,3,73,4,5,34,"{""type"":""Point"",""coordinates"":[-121.66229596536054,38.585381758151534]}"
00000000000000000048,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,73,7,6,34,"{""type"":""Point"",""coordinates"":[-121.70550465456843,38.58529257613047]}"
00000000000000000049,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,74,4,11,34,"{""type"":""Point"",""coordinates"":[-121.74871334377632,38.5852033941094]}"
0000000000000000004a,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,77,4,14,24,"{""type"":""Point"",""coordinates"":[-121.79192649208528,38.58510975298728]}"
0000000000000000004b,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,3,72,4,5,34,"{""type"":""Point"",""coordinates"":[-121.67415717416272,38.58510975298728]}"
0000000000000000004c,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,73,7,7,34,"{""type"":""Point"",""coordinates"":[-121.71736586337063,38.58502057096621]}"
0000000000000000004d,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,76,7,13,34,"{""type"":""Point"",""coordinates"":[-121.76057455257849,38.58493138894514]}"
0000000000000000004e,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,76,4,17,24,"{""type"":""Point"",""coordinates"":[-121.80378324178638,38.58484220692408]}"
0000000000000000004f,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,74,4,6,24,"{""type"":""Point"",""coordinates"":[-121.68601392386381,38.58484220692407]}"
00000000000000000050,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,74,7,9,34,"{""type"":""Point"",""coordinates"":[-121.7292226130717,38.584753024903]}"
00000000000000000051,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,75,7,13,34,"{""type"":""Point"",""coordinates"":[-121.77243130227964,38.58466384288193]}"
00000000000000000052,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,3,73,4,5,34,"{""type"":""Point"",""coordinates"":[-121.65466198435705,38.58466384288193]}"
00000000000000000053,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,73,4,6,34,"{""type"":""Point"",""coordinates"":[-121.69787067356494,38.584574660860866]}"
00000000000000000054,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,73,4,11,34,"{""type"":""Point"",""coordinates"":[-121.74107936277282,38.584481019738746]}"
00000000000000000055,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,75,4,14,34,"{""type"":""Point"",""coordinates"":[-121.78428805198071,38.584391837717675]}"
00000000000000000056,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,3,73,4,5,34,"{""type"":""Point"",""coordinates"":[-121.66651873405816,38.584391837717675]}"
00000000000000000057,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,73,7,6,34,"{""type"":""Point"",""coordinates"":[-121.70972742326603,38.584302655696604]}"
00000000000000000058,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,74,4,11,34,"{""type"":""Point"",""coordinates"":[-121.75293611247395,38.58421347367553]}"
00000000000000000059,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,75,4,17,24,"{""type"":""Point"",""coordinates"":[-121.79614480168183,38.58412429165447]}"
0000000000000000005a,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,74,4,6,34,"{""type"":""Point"",""coordinates"":[-121.67837548375928,38.58412429165447]}"
0000000000000000005b,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,73,7,7,34,"{""type"":""Point"",""coordinates"":[-121.72158417296716,38.5840351096334]}"
0000000000000000005c,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,76,7,13,34,"{""type"":""Point"",""coordinates"":[-121.76479732127609,38.583945927612326]}"
0000000000000000005d,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,76,4,17,24,"{""type"":""Point"",""coordinates"":[-121.80800601048398,38.583852286490206]}"
0000000000000000005e,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,74,4,6,24,"{""type"":""Point"",""coordinates"":[-121.69023669256144,38.583852286490206]}"
0000000000000000005f,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,74,4,9,34,"{""type"":""Point"",""coordinates"":[-121.73344538176933,38.583763104469135]}"
00000000000000000060,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,75,4,14,34,"{""type"":""Point"",""coordinates"":[-121.77665407097722,38.58367392244807]}"
00000000000000000061,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,3,73,4,5,34,"{""type"":""Point"",""coordinates"":[-121.65888475305465,38.58367392244807]}"
00000000000000000062,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,73,4,6,34,"{""type"":""Point"",""coordinates"":[-121.70209344226254,38.583584740427]}"
00000000000000000063,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,73,4,11,34,"{""type"":""Point"",""coordinates"":[-121.74530213147045,38.58349555840593]}"
00000000000000000064,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,77,4,14,24,"{""type"":""Point"",""coordinates"":[-121.78851082067834,38.58340637638487]}"
00000000000000000065,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,3,72,4,5,34,"{""type"":""Point"",""coordinates"":[-121.67074150275576,38.58340637638487]}"
00000000000000000066,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,73,7,7,34,"{""type"":""Point"",""coordinates"":[-121.71395019196366,38.58331719436379]}"
00000000000000000067,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,74,4,11,34,"{""type"":""Point"",""coordinates"":[-121.75715888117155,38.58322355324167]}"
00000000000000000068,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,75,4,17,24,"{""type"":""Point"",""coordinates"":[-121.80036757037946,38.58313437122061]}"
00000000000000000069,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,74,4,6,34,"{""type"":""Point"",""coordinates"":[-121.68259825245687,38.58313437122061]}"
0000000000000000006a,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,74,7,9,34,"{""type"":""Point"",""coordinates"":[-121.72580694166476,38.58304518919954]}"
0000000000000000006b,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,75,7,13,34,"{""type"":""Point"",""coordinates"":[-121.76901563087267,38.58295600717846]}"
0000000000000000006c,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,76,4,19,24,"{""type"":""Point"",""coordinates"":[-121.81222432008053,38.582866825157396]}"
0000000000000000006d,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,74,4,6,24,"{""type"":""Point"",""coordinates"":[-121.694455002158,38.582866825157396]}"
0000000000000000006e,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,74,4,9,34,"{""type"":""Point"",""coordinates"":[-121.73766815046693,38.58277764313633]}"
0000000000000000006f,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,75,4,14,34,"{""type"":""Point"",""coordinates"":[-121.78087683967485,38.58268846111526]}"
00000000000000000070,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,3,73,4,5,34,"{""type"":""Point"",""coordinates"":[-121.6631075217523,38.58268846111526]}"
00000000000000000071,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,74,4,6,34,"{""type"":""Point"",""coordinates"":[-121.70631621096018,38.58259481999313]}"
00000000000000000072,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,74,4,11,24,"{""type"":""Point"",""coordinates"":[-121.74952490016805,38.582505637972055]}"
00000000000000000073,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,75,7,14,34,"{""type"":""Point"",""coordinates"":[-121.79273358937594,38.582416455951]}"
00000000000000000074,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,3,71,4,5,34,"{""type"":""Point"",""coordinates"":[-121.67496427145336,38.582416455951]}"
00000000000000000075,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,75,7,7,34,"{""type"":""Point"",""coordinates"":[-121.71817296066126,38.58232727392993]}"
00000000000000000076,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,76,4,13,24,"{""type"":""Point"",""coordinates"":[-121.76138164986915,38.582238091908856]}"
00000000000000000077,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,73,7,17,24,"{""type"":""Point"",""coordinates"":[-121.8045903390771,38.5821489098878]}"
00000000000000000078,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,75,4,6,34,"{""type"":""Point"",""coordinates"":[-121.68682102115449,38.58214890988779]}"
00000000000000000079,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,75,7,9,34,"{""type"":""Point"",""coordinates"":[-121.73002971036239,38.58205972786672]}"
0000000000000000007a,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,75,7,13,34,"{""type"":""Point"",""coordinates"":[-121.77323839957027,38.5819660867446]}"
0000000000000000007b,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,3,73,4,5,34,"{""type"":""Point"",""coordinates"":[-121.6554690816477,38.5819660867446]}"
0000000000000000007c,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,74,4,6,34,"{""type"":""Point"",""coordinates"":[-121.6986777708556,38.58187690472353]}"
0000000000000000007d,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,75,4,11,34,"{""type"":""Point"",""coordinates"":[-121.74188646006348,38.58178772270245]}"
0000000000000000007e,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,75,7,14,34,"{""type"":""Point"",""coordinates"":[-121.7850951492714,38.581698540681394]}"
0000000000000000007f,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,75,4,5,24,"{""type"":""Point"",""coordinates"":[-121.66732583134882,38.581698540681394]}"
00000000000000000080,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,74,4,6,34,"{""type"":""Point"",""coordinates"":[-121.71053897965777,38.58160935866033]}"
00000000000000000081,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,74,4,11,24,"{""type"":""Point"",""coordinates"":[-121.75374766886566,38.58152017663926]}"
00000000000000000082,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,76,7,17,34,"{""type"":""Point"",""coordinates"":[-121.79695635807354,38.58142653551713]}"
00000000000000000083,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,3,73,4,6,34,"{""type"":""Point"",""coordinates"":[-121.67918704015099,38.58142653551713]}"
00000000000000000084,279.1433642879948,0.49853181100225896,290.9942990292557,MCTNet_400km2_California_North-1.tif,36,2,75,7,9,34,"{""type"":""Point"",""coordinates"":[-121.7223957293589,38.58133735349606]}"
00000000000000000085,279.05698568043675,0.48553203797674627,291.19363045954447,MCTNet_400km2_California_North-1.tif,36,2,76,4,13,24,"{""type"":""Point"",""coordinates"":[-121.76560441856678,38.581248171474996]}"
